,author,content,description,publishedAt,source,title,url,urlToImage,count
0,,"To continue, please click the box below to let us know you're not a robot.","Bloomberg US, China Give Nod to Asia Defense Rules to Avoid Air Crashes Bloomberg Defense chiefs from the U.S. and China agreed in principle to guidelines on encounters between warplanes, in the latest bid by Pacific nations to keep increased military activit…",2018-10-20 07:38:02,"{'id': 'bloomberg', 'name': 'Bloomberg'}","US, China Give Nod to Asia Defense Rules to Avoid Air Crashes - Bloomberg",https://www.bloomberg.com/tosv2.html?vid=&uuid=0539c2a0-d44a-11e8-8ed3-d965847c884a&url=L25ld3MvYXJ0aWNsZXMvMjAxOC0xMC0yMC91LXMtY2hpbmEtZ2l2ZS1ub2QtdG8tYXNpYS1kZWZlbnNlLXJ1bGVzLXRvLWF2b2lkLWFpci1jcmFzaGVz,,1
1,,"BEIRUT (Reuters) - Six hostages were freed on Saturday from Islamic State, which has held several women and children captive since it attacked Syria's Sweida city three months ago, state media and a monitor said. Islamic State militants staged multiple suicid… [+1352 chars]","Toronto Star Six Sweida hostages freed from Islamic State: Syrian state media, Observatory Business Insider BEIRUT (Reuters) - Six hostages were freed on Saturday from Islamic State, which has held several women and children captive since it attacked Syria's …",2018-10-20 08:15:00,"{'id': 'business-insider', 'name': 'Business Insider'}","Six Sweida hostages freed from Islamic State: Syrian state media, Observatory - Business Insider",http://uk.businessinsider.com/r-six-sweida-hostages-freed-from-islamic-state-syrian-state-media-observatory-2018-10,,1
2,,"OSLO (Reuters) - Norway, the European Union and several other countries asked the World Trade Organization (WTO) on Thursday to set up a dispute resolution panel to address U.S. tariffs on steel and aluminium. The United States imposed a 25 percent duty on st… [+1569 chars]","Yahoo News Norway, EU ask WTO to set up panel on US steel, aluminium tariffs Yahoo News OSLO (Reuters) - Norway, the European Union and several other countries asked the World Trade Organization (WTO) on Thursday to set up a dispute resolution panel to addres…",2018-10-20 09:38:04,"{'id': None, 'name': 'Yahoo.com'}","Norway, EU ask WTO to set up panel on US steel, aluminium tariffs - Yahoo News",https://finance.yahoo.com/news/norway-eu-ask-wto-set-panel-u-steel-172912152--finance.html,https://s.yimg.com/uu/api/res/1.2/P8cCkFro7RRPPThgpiv4Qg--~B/aD0yOTI7dz00NTA7c209MTthcHBpZD15dGFjaHlvbg--/http://media.zenfs.com/en_us/News/Reuters/2018-10-18T172912Z_1_LYNXNPEE9H1SE_RTROPTP_2_USA-TRADE-WTO.JPG,2
3,Grace Duffy,"Welcome to this week’s edition of the Social Media Marketing Talk Show, a news show for marketers who want to stay on the leading edge of social media. On this week’s Social Media Marketing Talk Show, join us as we discuss Social Media Examiner’s reasons for … [+4915 chars]","Welcome to this week’s edition of the Social Media Marketing Talk Show, a news show for marketers who want to stay on the leading edge of social media. On this week’s Social Media Marketing Talk Show, join us as we discuss Social Media Examiner’s reasons for …",2018-10-20 10:00:46,"{'id': None, 'name': 'Socialmediaexaminer.com'}",Is Facebook Long-Form Video Dead?,https://www.socialmediaexaminer.com/facebook-long-form-video-dead/,https://www.socialmediaexaminer.com/wp-content/uploads/2018/10/SMMT-Show-2018-10-20-1200.png,1
4,,"Southeast Asian nations seeking to combat the threat of militancy have agreed to share intelligence, Singapore's defence minister said Saturday, as he warned of a ""real and present"" danger to the region. More than a year after Islamic State-linked fighters se… [+1859 chars]","Yahoo News SE Asia boosts fight against 'real and present' militant threat Yahoo News Southeast Asian nations seeking to combat the threat of militancy have agreed to share intelligence, Singapore's defence minister said Saturday, as he warned of a ""real and …",2018-10-20 10:18:44,"{'id': None, 'name': 'Yahoo.com'}",SE Asia boosts fight against 'real and present' militant threat - Yahoo News,https://sg.news.yahoo.com/se-asia-boosts-fight-against-real-present-militant-101201906.html,https://s.yimg.com/uu/api/res/1.2/n5941Jps6I9gJVj9aDnxHQ--~B/aD01MTE7dz03Njg7c209MTthcHBpZD15dGFjaHlvbg--/http://media.zenfs.com/en_sg/News/AFP/22487a19cf52795038ab81298f5fd8f87fa7fab3.jpg,1
5,"The Motley Fool, Leo Sun, The Motley Fool","Facebook has unveiled its new election war room designed to assist employees with finding and deleting fake news and bogus accounts aimed at interfering with elections. (Oct. 18) AP World oil production hits a record level, Facebook shuts off a number of acco… [+2609 chars]",Facebook was the top platform for social network video ads. Its US video ad revenue (including Instagram) could grow to $10.2 billion by 2020.,2018-10-20 11:00:08,"{'id': None, 'name': 'Fool.com'}",Facebook's video ad revenue could top $10 billion by 2020: A Foolish Take,https://www.fool.com/investing/2018/10/15/a-foolish-take-facebooks-video-ad-revenue-could-to.aspx?utm_source=google&utm_medium=amp&utm_campaign=speakable,https://www.gannett-cdn.com/-mm-/b2b05a4ab25f4fca0316459e1c7404c537a89702/c=0-0-1365-768/local/-/media/2018/10/12/USATODAY/usatsports/247WallSt.com-247WS-498489-facebook-mobile1.jpg?width=3200&height=1680&fit=crop,1
6,,"There was no winner for Friday's Mega Millions lottery drawing, which had a record jackpot of $1 billion. The prize has now grown to a record $1.6 billion if a ticket matches all six winning numbers. The winning numbers drawn Friday were: 15-23-53-65-70 Mega … [+5335 chars]","WLS-TV Mega Millions Results: Jackpot grows to record $1.6 billion after no winner drawn Friday WLS-TV There was no winner for Friday's Mega Millions lottery drawing, which had a record jackpot of $1 billion. The prize has now grown to a record $1.6 billion i…",2018-10-20 12:15:04,"{'id': None, 'name': 'Abc7chicago.com'}",Mega Millions Results: Jackpot grows to record $1.6 billion after no winner drawn Friday - WLS-TV,https://abc7chicago.com/finance/mega-millions-results-jackpot-grows-to-record-$16b-after-no-winner-drawn-friday/4523420/,https://cdns.abclocal.go.com/content/wls/images/cms/automation/vod/101918-wls-megamillions-10p-vid.jpg,1
7,,"Saudi Crown Prince Mohammed bin Salman has positioned himself as the future ruler of the worlds largest oil supplier for decades to come. Now, that leadership path is on shakier ground. The widening fallout from the death of Jamal Khashoggi, the Washington-ba… [+5746 chars]",Middle East News: Saudi Crown Prince Mohammed bin Salman has positioned himself as the future ruler of the world’s largest oil supplier for decades to come.,2018-10-20 12:19:49,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Khashoggi crisis raises questions over Saudi prince's grip on power,https://timesofindia.indiatimes.com/world/middle-east/khashoggi-crisis-tests-saudi-crown-princes-firm-grip-on-power/articleshow/66294695.cms,"https://static.toiimg.com/thumb/msid-66294769,width-1070,height-580,imgsize-177063,resizemode-6,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",1
8,Matthew DeBord,"General Motors' president, Dan Ammann, is a bundle of reconciled contradictions. When he laughs, it's like Santa Claus has come to town. When he thinks, the pauses are intense. When he makes a joke or offers a wry observation, his wit is extra dry. Sitting in… [+18301 chars]","A decade after the financial crisis, General Motors is led by the best management team it's ever had and one of the best C-suites in all of business. CEO Mary Barra, president Dan Ammann, and executive vice-president Mark Reuss have overseen the birth of a Ne…",2018-10-20 12:57:00,"{'id': 'business-insider', 'name': 'Business Insider'}",How GM went from bankrupt and on the brink of death to being one of the world's best-run car companies (GM),https://www.businessinsider.com/gm-mary-barra-management-helped-save-automaker-2018-10,https://amp.businessinsider.com/images/5bc9e1cea4f8be2a5e189bfc-1136-568.jpg,1
9,,OMAHA: China's propaganda machine has taken aim at American soybean farmers as part of its high-stakes trade war with the Trump administration. The publication last month of a four-page advertising section in the Des Moines Register opened a new battle line i… [+4716 chars],US News: OMAHA: China's propaganda machine has taken aim at American soybean farmers as part of its high-stakes trade war with the Trump administration.,2018-10-20 13:42:40,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",China extends propaganda drive to US heartland,https://timesofindia.indiatimes.com/world/us/chinese-broadens-its-propaganda-drive-to-heartland-america/articleshow/66295028.cms,"https://static.toiimg.com/thumb/msid-66295538,width-1070,height-580,imgsize-1188130,resizemode-6,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",1
